date,state,daily,cummulative
1/1/23,TN,167,11213404
1/1/23,PR,115,7767333
1/1/23,GU,0,392904
1/1/23,CO,26,12820546
1/1/23,ID,29,2858291
1/1/23,PW,0,51410
1/1/23,NJ,201,19574345
1/1/23,TX,2037,51710251
1/1/23,MT,7,1849044
1/1/23,MN,121,12591517
1/1/23,GA,202,16908051
1/1/23,AR,61,4822120
1/1/23,OR,36,9216868
1/1/23,WA,411,17393843
1/1/23,MS,61,4262003
1/1/23,MI,223,18507583
1/1/23,KY,61,7417811
1/1/23,MH,0,97305
1/1/23,NM,84,4679558
1/1/23,AS,0,115079
1/1/23,MD,350,14490595
1/1/23,NV,102,5517245
1/1/23,WV,32,3070735
1/1/23,FM,2,199269
1/1/23,IN,178,11056237
1/1/23,WI,80,12235106
1/1/23,ND,2,1293183
1/1/23,DE,12,2140651
1/1/23,CA,819,86962193
1/1/23,NH,51,2943303
1/1/23,VI,0,154345
1/1/23,RI,39,2627594
1/1/23,HI,71,3476018
1/1/23,AL,216,6951250
1/1/23,KS,90,5320897
1/1/23,OK,114,6697709
1/1/23,LA,95,6885521
1/1/23,VT,8,1733014
1/1/23,AK,20,1309050
1/1/23,ME,20,3479408
1/1/23,NY,305,44597239
1/1/23,IA,135,6040185
1/1/23,SD,35,1661066
1/1/23,MA,164,17840803
1/1/23,MO,366,10367626
1/1/23,WY,2,847227
1/1/23,SC,100,8551520
1/1/23,AZ,305,14423563
1/1/23,FL,491,41745743
1/1/23,VA,511,19323072
1/1/23,PA,417,27229314
12/1/22,VT,1567,1710370
12/1/22,WI,9004,12066329
12/1/22,CO,9328,12728466
12/1/22,PW,102,51192
12/1/22,MD,9581,14302609
12/1/22,AS,64,114971
12/1/22,ND,1076,1279791
12/1/22,NH,2179,2904911
12/1/22,NM,3467,4619355
12/1/22,RI,1809,2595191
12/1/22,VI,85,153423
12/1/22,FM,307,195321
12/1/22,US,387984,659277438
12/1/22,VA,12867,19073780
12/1/22,MS,1579,4231841
12/1/22,ME,2871,3431803
12/1/22,MI,10878,18302321
12/1/22,IN,6127,10958255
12/1/22,KY,4249,7350621
12/1/22,PA,16643,26911161
12/1/22,MO,6743,10252043
12/1/22,SC,4136,8469398
12/1/22,WY,540,839687
12/1/22,ID,1487,2829073
12/1/22,AK,670,1297941
12/1/22,NY,23759,44107710
12/1/22,MH,14,96806
12/1/22,SD,1559,1643723
12/1/22,NV,2499,5462128
12/1/22,AZ,9460,14247646
12/1/22,OH,13576,20571142
12/1/22,UT,3598,6021329
12/1/22,PR,2989,7680635
12/1/22,CT,5491,8793997
12/1/22,NC,10129,18987673
12/1/22,MT,1347,1827843
12/1/22,IL,13440,26130155
12/1/22,WV,1346,3047820
12/1/22,HI,1600,3441472
12/1/22,NE,2445,3725046
12/1/22,IA,4693,5957756
12/1/22,WA,11061,17166242
12/1/22,MA,14779,17557855
12/1/22,GU,198,390047
12/1/22,TX,20515,51187208
12/1/22,NJ,9622,19354374
12/1/22,TN,4749,11126775
12/1/22,FL,16314,41373934
12/1/22,DC,1579,2077833
12/1/22,LA,2770,6833588
12/1/22,DE,1362,2114928
12/1/22,MP,45,115179
12/1/22,OR,7945,9085016
12/1/22,AR,2419,4779099
12/1/22,GA,8149,16742512
12/1/22,MN,10275,12412237
12/1/22,KS,3489,5259919
12/1/22,CA,60515,85662627
12/1/22,OK,3617,6633864
12/1/22,AL,2263,6901767
11/1/22,LA,4208,6755685
11/1/22,VT,3337,1665022
11/1/22,AR,4587,4705464
11/1/22,WY,978,825938
11/1/22,AK,1069,1278804
11/1/22,IA,7745,5819258
11/1/22,MD,15979,13991745
11/1/22,IN,12614,10807479
11/1/22,CO,16942,12405827
11/1/22,AL,5216,6818524
11/1/22,OK,5783,6531768
11/1/22,CA,81778,83831678
11/1/22,OR,12932,8841502
11/1/22,FL,26635,40885554
11/1/22,KS,6222,5153160
11/1/22,MT,2234,1791356
11/1/22,MO,11763,10047216
11/1/22,NC,17369,18665848
11/1/22,FM,148,190531
11/1/22,US,640148,647024640
11/1/22,DC,2361,2028702
11/1/22,GU,152,386529
11/1/22,VA,20115,18685364
11/1/22,DE,2538,2068925
11/1/22,NH,4124,2827719
11/1/22,NM,5527,4508764
11/1/22,AZ,12767,13996289
11/1/22,GA,13687,16513145
11/1/22,MN,19759,12067538
11/1/22,PA,28979,26364896
11/1/22,MA,22440,17091217
11/1/22,AS,7,114731
11/1/22,UT,7079,5919554
11/1/22,TN,9038,10975441
11/1/22,OH,22607,20141736
11/1/22,IL,28645,25571720
11/1/22,RI,3157,2538243
11/1/22,VI,33,152403
11/1/22,NE,4410,3649231
11/1/22,WI,19171,11767358
11/1/22,KY,7276,7227100
11/1/22,SC,8279,8337553
11/1/22,ID,3099,2775491
11/1/22,MP,27,114472
11/1/22,NY,30643,43372132
11/1/22,TX,35222,50512103
11/1/22,ND,1865,1253238
11/1/22,MH,42,94977
11/1/22,SD,2123,1603347
11/1/22,MS,2605,4186583
11/1/22,ME,4040,3337700
11/1/22,MI,17644,17952749
11/1/22,PW,24,50738
11/1/22,HI,2980,3383342
11/1/22,WA,24192,16727007
11/1/22,PR,3538,7618846
11/1/22,NJ,14776,19039550
11/1/22,NV,4442,5377192
11/1/22,CT,9066,8606746
11/1/22,WV,2689,3007019
10/1/22,MT,437,1722662
10/1/22,OH,13025,19452296
10/1/22,AS,0,114549
10/1/22,IN,4625,10524143
10/1/22,RI,1813,2444225
10/1/22,MD,10868,13469179
10/1/22,SD,477,1546774
10/1/22,SC,2894,8106079
10/1/22,MI,11675,17297328
10/1/22,MS,1107,4116906
10/1/22,ID,1386,2675215
10/1/22,MN,7255,11505894
10/1/22,ME,2969,3182204
10/1/22,NH,2466,2698607
10/1/22,CO,17709,11903345
10/1/22,IA,2826,5574862
10/1/22,NY,23200,42196976
10/1/22,IL,18709,24675944
10/1/22,MP,57,113590
10/1/22,LA,1849,6632198
10/1/22,PW,0,49930
10/1/22,PR,1620,7543883
10/1/22,AZ,8764,13604073
10/1/22,WY,359,798464
10/1/22,MA,14443,16363326
10/1/22,GA,8072,16102726
10/1/22,AK,885,1242346
10/1/22,CA,48676,81286063
10/1/22,OK,2799,6352607
10/1/22,VA,13837,18045178
10/1/22,HI,2563,3271583
10/1/22,NE,2238,3511627
10/1/22,DC,2030,1949005
10/1/22,UT,3046,5736539
10/1/22,NC,9628,18106337
10/1/22,FL,14465,40062042
10/1/22,VT,1691,1585631
10/1/22,KY,3552,7024129
10/1/22,MH,15,94371
10/1/22,TX,24739,49407870
10/1/22,PA,18129,25468168
10/1/22,US,379399,627301508
10/1/22,KS,2791,4973329
10/1/22,NV,3093,5240689
10/1/22,WI,6357,11259279
10/1/22,FM,51,183022
10/1/22,GU,15,381994
10/1/22,DE,1162,1994199
10/1/22,VI,37,151311
10/1/22,MO,5610,9699253
10/1/22,CT,5589,8294879
10/1/22,OR,6611,8581449
10/1/22,AR,1233,4570020
10/1/22,ND,409,1199645
10/1/22,NJ,10822,18543097
10/1/22,TN,5367,10705878
10/1/22,NM,3086,4338446
10/1/22,WV,1054,2926750
10/1/22,AL,2353,6669012
10/1/22,WA,16579,15997557
9/1/22,VT,294,1526633
9/1/22,TX,8363,48573815
9/1/22,ID,456,2618945
9/1/22,MN,3268,11139755
9/1/22,AL,870,6590866
9/1/22,MT,223,1682055
9/1/22,OH,3326,18985696
9/1/22,AS,21,114219
9/1/22,CT,844,8056640
9/1/22,CA,10682,79439892
9/1/22,MD,2628,13066629
9/1/22,NV,327,5145133
9/1/22,SC,1243,7964282
9/1/22,PW,0,49710
9/1/22,MO,1381,9488140
9/1/22,FL,4406,39502666
9/1/22,SD,394,1514941
9/1/22,ME,477,3077925
9/1/22,NE,824,3431195
9/1/22,DC,543,1874899
9/1/22,WI,1397,10987025
9/1/22,LA,1058,6557992
9/1/22,MS,440,4077699
9/1/22,OR,1577,8340953
9/1/22,AR,592,4489286
9/1/22,VA,2980,17564631
9/1/22,OK,847,6236303
9/1/22,IA,994,5434841
9/1/22,IL,4089,23997790
9/1/22,NY,7155,41286573
9/1/22,WY,96,783101
9/1/22,AK,255,1214273
9/1/22,IN,1606,10348433
9/1/22,RI,527,2378427
9/1/22,TN,1431,10509951
9/1/22,NM,664,4231429
9/1/22,UT,1039,5601084
9/1/22,HI,223,3176630
9/1/22,FM,455,175695
9/1/22,AZ,3213,13309327
9/1/22,NH,377,2625678
9/1/22,PR,518,7495255
9/1/22,MP,20,112557
9/1/22,MI,3182,16823197
9/1/22,PA,4329,24852463
9/1/22,GA,2414,15835591
9/1/22,GU,84,378725
9/1/22,WV,317,2870465
9/1/22,VI,15,150511
9/1/22,DE,294,1936867
9/1/22,NC,2260,17674792
9/1/22,CO,2291,11556145
9/1/22,WA,2837,15528402
9/1/22,ND,301,1168211
9/1/22,NJ,2795,18165320
9/1/22,US,98820,613387308
9/1/22,KY,1031,6878076
9/1/22,MH,234,90862
9/1/22,KS,1016,4865536
9/1/22,MA,2745,15817502
8/1/22,OR,2644,8273398
8/1/22,IN,4608,10278690
8/1/22,ME,1276,3050422
8/1/22,PA,9599,24632845
8/1/22,FM,767,161257
8/1/22,AS,61,113345
8/1/22,NE,1484,3397466
8/1/22,IL,10831,23780344
8/1/22,IA,2642,5382825
8/1/22,HI,995,3154336
8/1/22,NC,7582,17521189
8/1/22,UT,2660,5551277
8/1/22,VA,7017,17405139
8/1/22,VT,610,1512225
8/1/22,CT,2927,7994090
8/1/22,CA,34860,78725890
8/1/22,ND,687,1154166
8/1/22,PW,0,49554
8/1/22,GU,197,375680
8/1/22,WA,5858,15381384
8/1/22,AK,456,1203971
8/1/22,ID,1052,2598518
8/1/22,DC,1025,1851696
8/1/22,OK,2552,6188599
8/1/22,AL,2394,6544175
8/1/22,NY,12214,41041594
8/1/22,FL,11849,39272394
8/1/22,MD,5823,12930347
8/1/22,AR,1754,4454217
8/1/22,WY,294,777819
8/1/22,PR,1858,7452065
8/1/22,OH,7910,18812877
8/1/22,MA,5906,15677825
8/1/22,NH,848,2608430
